,Release Group,Worldwide,Domestic,Foreign,Year
10874,Amelia 2.0,"$10,233","$10,233",-,2017
10875,The Sunshine Makers,"$10,042","$10,042",-,2017
10876,Pelle the Conqueror 2017 Re-release,"$9,757","$9,757",-,2017
10877,Living Proof,"$9,512","$9,512",-,2017
10878,Miss Kiet's Children 2017 Re-release,"$9,384","$9,384",-,2017
10879,Thirst Street,"$9,129","$9,129",-,2017
10880,Lycan,"$9,110","$9,110",-,2017
10881,The Eyes,"$9,104","$9,104",-,2017
10882,Julian Schnabel: A Private Portrait,"$9,103","$9,103",-,2017
10883,Revolt,"$8,986",-,"$8,986",2017
10884,Amnesia,"$8,700","$8,700",-,2017
10885,Inspector Maigret,"$8,528","$8,528",-,2017
10886,We Are the Flesh,"$8,438","$8,438",-,2017
10887,Gilbert,"$8,362","$8,362",-,2017
10888,Natasha,"$8,325","$8,325",-,2017
10889,Mr. Chibbs,"$8,302","$8,302",-,2017
10890,Served Like a Girl,"$8,290","$8,290",-,2017
10891,Anatahan,"$8,171","$8,171",-,2017
10892,From Nowhere,"$8,109","$8,109",-,2017
10893,Swept Away,"$7,876","$7,876",-,2017
10894,The Ballad of Lefty Brown,"$7,856","$7,856",-,2017
10895,Maurizio Cattelan: Be Right Back,"$7,706","$7,706",-,2017
10896,Running Shaadi,"$7,674",-,"$7,674",2017
10897,The Wrong Light,"$7,553","$7,553",-,2017
10898,Birthright: A War Story,"$7,519","$7,519",-,2017
10899,Big Time,"$7,347","$7,347",-,2017
10900,Another WolfCop,"$7,285","$7,285",-,2017
10901,The Reagan Show,"$7,109","$5,500","$1,609",2017
10902,The Jazz Funeral,"$7,103","$7,103",-,2017
10903,The Dark Below,"$7,095","$7,095",-,2017
10904,A Kind of Loving,"$6,912","$6,912",-,2017
10905,Footnotes 2017 Re-release,"$6,660","$6,660",-,2017
10906,The Persian Connection,"$6,634","$6,634",-,2017
10907,Elizabeth Blue,"$6,542","$6,542",-,2017
10908,Scum,"$6,461","$6,461",-,2017
10909,The Skyjacker's Tale,"$6,253","$6,253",-,2017
10910,In the Steps of Trisha Brown,"$6,230","$6,230",-,2017
10911,Arise from Darkness,"$6,112","$6,112",-,2017
10912,The Fuzz,"$6,067","$6,067",-,2017
10913,On Wings of Eagles 2017 Re-release,"$5,975","$5,975",-,2017
10914,Starless Dreams,"$5,937","$5,937",-,2017
10915,La Chinoise 2017 Re-release,"$5,631","$5,631",-,2017
10916,Icaros: A Vision,"$5,510","$5,510",-,2017
10917,The Man from Earth: Holocene,"$5,472","$5,472",-,2017
10918,It's Not Yet Dark,"$5,269","$1,227","$4,042",2017
10919,Bad Lucky Goat,"$5,088","$5,088",-,2017
10920,2307: Winter's Dream,"$5,078",-,"$5,078",2017
10921,Tournament,"$4,942","$4,942",-,2017
10922,Company Town,"$4,934","$4,934",-,2017
10923,Shot,"$4,701","$4,701",-,2017
10924,Night School,"$4,663","$4,663",-,2017
10925,I Love You Both,"$4,661","$4,661",-,2017
10926,Shakespeare-Wallah,"$4,650","$4,650",-,2017
10927,A Boy Called Po,"$4,550","$4,550",-,2017
10928,The Pulitzer at 100,"$4,489","$4,489",-,2017
10929,German Concentration Camps Factual Survey,"$4,468","$4,468",-,2017
10930,Generation Iron 2,"$4,439","$4,439",-,2017
10931,30-LOVE,"$4,392","$4,392",-,2017
10932,The Woman Who Left,"$4,373","$3,974",$399,2017
10933,My Father Die,"$4,252","$4,252",-,2017
10934,Badsville,"$4,153","$4,153",-,2017
10935,Emily,"$3,982","$3,982",-,2017
10936,Dream Boat,"$3,981","$3,981",-,2017
10937,The Gender Card Flip,"$3,774","$3,774",-,2017
10938,Bugs,"$3,742","$3,742",-,2017
10939,The Beautiful Troublemaker 2017 Re-release,"$3,540","$3,540",-,2017
10940,Who's Crazy?,"$3,497","$3,497",-,2017
10941,"Love, Sweat and Tears","$3,482","$3,482",-,2017
10942,Speed Sisters,"$3,423","$3,423",-,2017
10943,Amanda & Jack Go Glamping,"$3,352","$3,352",-,2017
10944,Bad Match,"$3,351","$3,351",-,2017
10945,Justice,"$3,259","$3,259",-,2017
10946,Kepler's Dream,"$2,923","$2,923",-,2017
10947,Demons,"$2,900","$2,900",-,2017
10948,I Dream in Another Language,"$2,739","$2,739",-,2017
10949,Santoalla,"$2,684","$2,684",-,2017
10950,Daughter of the Nile,"$2,640","$2,640",-,2017
10951,Take Me,"$2,583","$2,583",-,2017
10952,Miles,"$2,537","$2,537",-,2017
10953,Red Christmas,"$2,255","$2,255",-,2017
10954,7 from Etheria,"$2,208","$2,208",-,2017
10955,Dayveon,"$2,077","$2,077",-,2017
10956,"Accidental Courtesy: Daryl Davis, Race & America","$1,940","$1,940",-,2017
10957,Detour,"$1,788","$1,788",-,2017
10958,The Forest for the Trees,"$1,410","$1,410",-,2017
10959,A Different American Dream,"$1,172","$1,172",-,2017
10960,The Penguin Counters,$976,$976,-,2017
10961,Extraordinary Ordinary People,$880,$880,-,2017
10962,Antiporno,$294,-,$294,2017
10963,Wet Woman in the Wind,$268,-,$268,2017
10964,Avengers: Infinity War,"$2,048,359,754","$678,815,482","$1,369,544,272",2018
10965,Black Panther,"$1,346,913,161","$700,059,566","$646,853,595",2018
10966,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760","$890,748,184",2018
10967,Incredibles 2,"$1,242,805,359","$608,581,744","$634,223,615",2018
10968,Aquaman,"$1,148,461,807","$335,061,807","$813,400,000",2018
10969,Bohemian Rhapsody,"$903,655,259","$216,428,042","$687,227,217",2018
10970,Venom,"$856,085,151","$213,515,506","$642,569,645",2018
10971,Mission: Impossible - Fallout,"$791,115,104","$220,159,104","$570,956,000",2018
10972,Deadpool 2,"$734,546,611","$318,491,426","$416,055,185",2018
10973,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901","$495,300,000",2018
10974,Ant-Man and the Wasp,"$622,674,139","$216,648,740","$406,025,399",2018
10975,Ready Player One,"$582,890,172","$137,690,172","$445,200,000",2018
10976,Operation Red Sea,"$579,330,426","$1,543,547","$577,786,879",2018
10977,Detective Chinatown 2,"$544,185,156","$1,983,984","$542,201,172",2018
10978,The Meg,"$530,243,742","$145,443,742","$384,800,000",2018
10979,Ralph Breaks the Internet,"$529,323,962","$201,091,711","$328,232,251",2018
10980,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016","$361,073,758",2018
10981,Dr. Seuss' the Grinch,"$511,595,957","$270,620,950","$240,975,007",2018
10982,Bumblebee,"$467,989,645","$127,195,589","$340,794,056",2018
10983,A Star Is Born,"$436,188,866","$215,288,866","$220,900,000",2018
10984,Rampage,"$428,028,233","$101,028,233","$327,000,000",2018
10985,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935","$274,409,771",2018
10986,Solo: A Star Wars Story,"$392,924,807","$213,767,512","$179,157,295",2018
10987,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310","$185,299,521",2018
10988,Fifty Shades Freed,"$371,985,018","$100,407,760","$271,577,258",2018
10989,The Nun,"$365,550,119","$117,450,119","$248,100,000",2018
10990,Monster Hunt 2,"$361,682,618","$706,153","$360,976,465",2018
10991,Peter Rabbit,"$351,266,433","$115,253,424","$236,013,009",2018
10992,Mary Poppins Returns,"$349,537,494","$171,958,438","$177,579,056",2018
10993,A Quiet Place,"$340,939,361","$188,024,361","$152,915,000",2018
10994,Green Book,"$321,752,656","$85,080,171","$236,672,485",2018
10995,Skyscraper,"$304,868,961","$68,420,120","$236,448,841",2018
10996,Ocean's 8,"$297,718,711","$140,218,711","$157,500,000",2018
10997,Pacific Rim: Uprising,"$290,930,148","$59,874,525","$231,055,623",2018
10998,Maze Runner: The Death Cure,"$288,175,335","$58,032,443","$230,142,892",2018
10999,Tomb Raider,"$274,650,803","$58,250,803","$216,400,000",2018
11000,Halloween,"$255,485,178","$159,342,015","$96,143,163",2018
11001,Crazy Rich Asians,"$238,532,921","$174,532,921","$64,000,000",2018
11002,Creed II,"$214,215,889","$115,715,889","$98,500,000",2018
11003,Smallfoot,"$214,040,103","$83,240,103","$130,800,000",2018
11004,The Island,"$198,326,350","$670,883","$197,655,467",2018
11005,Christopher Robin,"$197,744,377","$99,215,042","$98,529,335",2018
11006,The Equalizer 2,"$190,400,157","$102,084,362","$88,315,795",2018
11007,The Mule,"$174,804,407","$103,804,407","$71,000,000",2018
11008,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851","$119,102,218",2018
11009,Insidious: The Last Key,"$167,885,588","$67,745,330","$100,140,258",2018
11010,The Predator,"$160,542,134","$51,024,708","$109,517,426",2018
11011,Johnny English Strikes Again,"$158,970,776","$4,412,170","$154,558,606",2018
11012,Red Sparrow,"$151,572,634","$46,874,505","$104,698,129",2018
11013,More Than Blue,"$142,958,164","$722,669","$142,235,495",2018
11014,The First Purge,"$137,056,262","$69,488,745","$67,567,517",2018
11015,How Long Will I Love U,"$136,796,719","$746,933","$136,049,786",2018
11016,A Wrinkle in Time,"$132,675,864","$100,478,608","$32,197,256",2018
11017,The House with a Clock in Its Walls,"$131,457,147","$68,549,695","$62,907,452",2018
11018,Instant Family,"$120,556,201","$67,363,237","$53,192,964",2018
11019,A Cool Fish,"$118,153,135","$551,876","$117,601,259",2018
11020,Game Night,"$117,679,066","$69,179,066","$48,500,000",2018
11021,Dragon Ball Super: Broly,"$115,560,610","$30,712,119","$84,848,491",2018
11022,The Monkey King 3,"$115,084,576","$187,074","$114,897,502",2018
11023,First Man,"$105,697,415","$44,936,545","$60,760,870",2018
11024,Book Club,"$104,438,188","$68,566,296","$35,871,892",2018
11025,Night School,"$103,105,878","$77,339,130","$25,766,748",2018
11026,Alpha,"$98,203,196","$35,857,181","$62,346,015",2018
11027,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246","$96,761,992",2018
11028,A Simple Favor,"$97,644,617","$53,548,586","$44,096,031",2018
11029,The Favourite,"$95,918,706","$34,366,783","$61,551,923",2018
11030,Truth or Dare,"$95,330,493","$41,411,015","$53,919,478",2018
11031,I Feel Pretty,"$94,539,426","$48,795,601","$45,743,825",2018
11032,Blockers,"$94,017,294","$60,311,495","$33,705,799",2018
11033,BlacKkKlansman,"$93,400,823","$49,275,340","$44,125,483",2018
11034,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633","$46,619,747",2018
11035,Shadow,"$91,708,374","$521,396","$91,186,978",2018
11036,Overboard,"$91,244,913","$50,316,123","$40,928,790",2018
11037,Sherlock Gnomes,"$90,497,778","$43,242,871","$47,254,907",2018
11038,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963","$89,777,808",2018
11039,Robin Hood,"$86,489,031","$30,824,628","$55,664,403",2018
11040,I Can Only Imagine,"$86,086,881","$83,482,352","$2,604,529",2018
11041,Mortal Engines,"$83,672,673","$15,951,040","$67,721,633",2018
11042,Den of Thieves,"$80,509,622","$44,947,622","$35,562,000",2018
11043,Hereditary,"$80,200,936","$44,069,456","$36,131,480",2018
11044,Tag,"$78,130,625","$54,730,625","$23,400,000",2018
11045,Sanju,"$76,693,052","$7,909,317","$68,783,735",2018
11046,Vice,"$76,073,488","$47,836,282","$28,237,206",2018
11047,Widows,"$75,984,700","$42,402,632","$33,582,068",2018
11048,Sicario: Day of the Soldado,"$75,837,743","$50,072,235","$25,765,508",2018
11049,Searching,"$75,462,037","$26,020,957","$49,441,080",2018
11050,The Spy Who Dumped Me,"$75,320,680","$33,562,069","$41,758,611",2018
11051,Second Act,"$72,282,227","$39,282,227","$33,000,000",2018
11052,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067","$69,010,962",2018
11053,Shoplifters,"$67,999,335","$3,313,513","$64,685,822",2018
11054,12 Strong,"$67,450,815","$45,819,713","$21,631,102",2018
11055,"Love, Simon","$66,316,289","$40,826,341","$25,489,948",2018
11056,Mile 22,"$66,308,758","$36,108,758","$30,200,000",2018
11057,Life of the Party,"$65,859,911","$53,059,911","$12,800,000",2018
11058,Capernaum,"$64,417,003","$1,661,096","$62,755,907",2018
11059,Isle of Dogs,"$64,241,499","$32,015,231","$32,226,268",2018
11060,Andhadhun,"$62,475,342","$1,193,046","$61,282,296",2018
11061,Adrift,"$59,945,012","$31,445,012","$28,500,000",2018
11062,The 15:17 to Paris,"$57,076,286","$36,276,286","$20,800,000",2018
11063,Early Man,"$54,622,814","$8,267,544","$46,355,270",2018
11064,Peppermint,"$53,918,723","$35,418,723","$18,500,000",2018
11065,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236","$22,300,000",2018
11066,Slender Man,"$51,738,549","$30,569,484","$21,169,065",2018
11067,Breaking In,"$51,411,620","$46,840,590","$4,571,030",2018
11068,Simmba,"$51,329,025","$5,102,129","$46,226,896",2018
11069,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309","$45,147,259",2018
11070,Death Wish,"$49,562,710","$34,017,028","$15,545,682",2018
11071,Golden Job,"$47,287,851","$285,795","$47,002,056",2018
11072,Mary Queen of Scots,"$46,712,809","$16,468,499","$30,244,310",2018
11073,Uncle Drew,"$46,664,414","$42,469,946","$4,194,468",2018
11074,Tyler Perry's Acrimony,"$46,403,669","$43,549,096","$2,854,573",2018
11075,Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953","$44,949,251",2018
11076,Winchester,"$44,019,588","$25,091,816","$18,927,772",2018
11077,Annihilation,"$43,070,915","$32,732,301","$10,338,614",2018
11078,The Possession of Hannah Grace,"$43,016,528","$14,837,422","$28,179,106",2018
11079,Long Day's Journey Into Night,"$42,140,994","$521,365","$41,619,629",2018
11080,Overlord,"$41,657,844","$21,704,844","$19,953,000",2018
11081,The Great Battle,"$41,509,280","$472,166","$41,037,114",2018
11082,The Darkest Minds,"$41,142,379","$12,695,691","$28,446,688",2018
11083,Holmes & Watson,"$40,466,970","$30,573,626","$9,893,344",2018
11084,Thugs of Hindostan,"$39,570,044","$1,449,848","$38,120,196",2018
11085,Show Dogs,"$39,156,854","$17,857,020","$21,299,834",2018
11086,Believer,"$39,047,153","$365,639","$38,681,514",2018
11087,The Spy Gone North,"$38,844,509","$500,803","$38,343,706",2018
11088,On the Basis of Sex,"$38,673,750","$24,622,687","$14,051,063",2018
11089,Till The End Of The World,"$37,013,733","$118,660","$36,895,073",2018
11090,2.0,"$36,945,969","$4,152,000","$32,793,969",2018
11091,Nothing to Lose,"$36,075,317","$1,016,188","$35,059,129",2018
11092,Mia and the White Lion,"$35,487,190","$399,471","$35,087,719",2018
11093,The Girl in the Spider's Web,"$35,164,920","$14,841,338","$20,323,582",2018
11094,The Hate U Give,"$34,934,009","$29,719,483","$5,214,526",2018
11095,Nobody's Fool,"$33,705,333","$31,713,110","$1,992,223",2018
11096,Baaghi 2,"$33,139,063","$1,319,579","$31,819,484",2018
11097,The Hurricane Heist,"$32,517,248","$6,115,825","$26,401,423",2018
11098,Bad Times at the El Royale,"$31,882,724","$17,839,115","$14,043,609",2018
11099,Hunter Killer,"$31,672,678","$15,767,460","$15,905,218",2018
11100,Super Troopers 2,"$31,626,386","$30,617,396","$1,008,990",2018
11101,The Strangers: Prey at Night,"$31,039,126","$24,586,708","$6,452,418",2018
11102,Free Solo,"$29,318,861","$17,541,090","$11,777,771",2018
11103,Pad Man,"$29,045,020","$1,670,192","$27,374,828",2018
11104,Mirai,"$28,756,961","$812,794","$27,944,167",2018
11105,Default,"$27,694,043","$203,775","$27,490,268",2018
11106,One Cut of the Dead,"$27,590,180","$52,406","$27,537,774",2018
11107,The Happytime Murders,"$27,506,452","$20,706,452","$6,800,000",2018
11108,Midnight Sun,"$27,365,467","$9,561,064","$17,804,403",2018
11109,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649","$25,939,208",2018
11110,Hichki,"$26,055,222","$330,279","$25,724,943",2018
11111,White Boy Rick,"$25,957,482","$24,011,188","$1,946,294",2018
11112,"Paul, Apostle of Christ","$25,915,966","$17,560,475","$8,355,491",2018
11113,Keys To The Heart,"$25,375,866","$75,134","$25,300,732",2018
11114,Stan & Ollie,"$24,420,923","$5,470,235","$18,950,688",2018
11115,The Accidental Detective 2: In Action,"$24,243,825","$179,045","$24,064,780",2018
11116,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170","$22,951,618",2018
11117,Padmaavat,"$22,991,060","$11,846,060","$11,145,000",2018
11118,Won't You Be My Neighbor?,"$22,844,741","$22,835,787","$8,954",2018
11119,Mojin: The Worm Valley,"$22,381,583","$101,516","$22,280,067",2018
11120,Big Brother,"$22,029,250","$85,624","$21,943,626",2018
11121,Master Z: The Ip Man Legacy,"$21,832,649","$209,454","$21,623,195",2018
11122,Proud Mary,"$21,753,365","$20,877,013","$876,352",2018
11123,The Prodigy,"$21,150,265","$14,856,291","$6,293,974",2018
11124,Gonjiam: Haunted Asylum,"$21,041,950","$115,252","$20,926,698",2018
11125,My Hero Academia: Two Heroes,"$21,022,724","$5,754,556","$15,268,168",2018
11126,SuperFly,"$20,780,685","$20,545,116","$235,569",2018
11127,If Beale Street Could Talk,"$20,596,567","$14,915,773","$5,680,794",2018
11128,Burn the Stage: The Movie,"$20,347,513","$4,201,819","$16,145,694",2018
11129,Cold War 2018 Re-release,"$20,296,042","$4,580,048","$15,715,994",2018
11130,The Wife,"$19,978,189","$9,601,092","$10,377,097",2018
11131,They Shall Not Grow Old,"$19,866,389","$17,956,913","$1,909,476",2018
11132,Everybody Knows,"$19,176,163","$2,660,165","$16,515,998",2018
11133,Oolong Courtyard: KungFu School,"$19,129,015","$37,727","$19,091,288",2018
11134,Detective K: Secret of the Living Dead,"$18,603,476","$104,013","$18,499,463",2018
11135,Airpocalypse,"$18,491,089","$105,678","$18,385,411",2018
11136,Zero,"$18,412,196","$1,035,388","$17,376,808",2018
11137,Chappaquiddick,"$18,263,470","$17,395,520","$867,950",2018
11138,Sorry to Bother You,"$18,170,707","$17,493,096","$677,611",2018
11139,Hell Fest,"$18,159,691","$11,107,431","$7,052,260",2018
11140,The Old Man & the Gun,"$17,860,397","$11,277,120","$6,583,277",2018
11141,The Children Act,"$17,696,794","$547,750","$17,149,044",2018
11142,Operation Finale,"$17,612,099","$17,612,099",-,2018
11143,Loving Pablo,"$17,535,962","$22,017","$17,513,945",2018
11144,102 Not Out,"$16,758,596","$1,343,797","$15,414,799",2018
11145,Beautiful Boy,"$16,636,604","$7,649,973","$8,986,631",2018
11146,Upgrade,"$16,593,554","$11,977,130","$4,616,424",2018
11147,Forever My Girl,"$16,376,066","$16,376,066",-,2018
11148,Unfriended: Dark Web,"$16,024,987","$8,866,745","$7,158,242",2018
11149,Finding Your Feet,"$15,775,555","$1,418,682","$14,356,873",2018
11150,Feng Shui,"$15,702,302","$64,147","$15,638,155",2018
11151,Tully,"$15,636,462","$9,369,755","$6,266,707",2018
11152,The Negotiation,"$15,229,193","$110,986","$15,118,207",2018
11153,Made in India,"$14,751,915","$790,628","$13,961,287",2018
11154,RBG,"$14,441,292","$14,017,361","$423,931",2018
11155,Eighth Grade,"$14,347,433","$13,539,709","$807,724",2018
11156,Unsane,"$14,293,601","$7,732,899","$6,560,702",2018
11157,Colette,"$14,273,033","$5,137,622","$9,135,411",2018
11158,Ya veremos,"$14,134,723","$4,165,949","$9,968,774",2018
11159,Kedarnath,"$13,999,297","$901,131","$13,098,166",2018
11160,The Quake,"$13,837,294","$6,235","$13,831,059",2018
11161,Three Identical Strangers,"$13,448,497","$12,320,845","$1,127,652",2018
11162,Hotel Artemis,"$13,313,581","$6,708,147","$6,605,434",2018
11163,The Sisters Brothers,"$13,143,056","$3,143,056","$10,000,000",2018
11164,Welcome to Marwen,"$13,061,491","$10,763,520","$2,297,971",2018
11165,Take Point,"$12,908,032","$112,386","$12,795,646",2018
11166,Luis and the Aliens,"$12,627,729","$169,710","$12,458,019",2018
11167,Can You Ever Forgive Me?,"$12,442,161","$8,803,865","$3,638,296",2018
11168,Rampant,"$12,359,573","$167,937","$12,191,636",2018
11169,Little Women,"$12,165,890","$1,379,497","$10,786,393",2018
11170,Ballon,"$11,859,396","$34,222","$11,825,174",2018
11171,Boy Erased,"$11,853,081","$6,788,692","$5,064,389",2018
11172,Unstoppable,"$11,845,347","$101,417","$11,743,930",2018
11173,Last Letter,"$11,834,622","$180,946","$11,653,676",2018
11174,Ash Is Purest White,"$11,813,509","$422,814","$11,390,695",2018
11175,King of Thieves,"$11,353,515","$7,518","$11,345,997",2018
11176,At Eternity's Gate,"$11,235,662","$2,294,915","$8,940,747",2018
11177,La boda de Valentina,"$11,021,794","$2,783,739","$8,238,055",2018
11178,Gringo,"$11,001,627","$4,969,853","$6,031,774",2018
11179,Golden Slumber,"$10,733,326","$94,450","$10,638,876",2018
11180,Red Joan,"$10,647,493","$1,579,730","$9,067,763",2018
11181,Every Day,"$10,421,847","$6,102,076","$4,319,771",2018
11182,Swing Kids,"$10,397,408","$222,001","$10,175,407",2018
11183,Lobster Cop,"$10,373,129","$85,693","$10,287,436",2018
11184,Kin,"$10,313,019","$5,718,096","$4,594,923",2018
11185,Girls vs Gangsters,"$10,265,819","$37,115","$10,228,704",2018
11186,The Miracle Season,"$10,230,620","$10,230,620",-,2018
11187,Ben Is Back,"$10,134,204","$3,703,184","$6,431,020",2018
11188,Papillon,"$10,060,903","$2,335,896","$7,725,007",2018
11189,The Princess and the Matchmaker,"$9,899,017","$78,900","$9,820,117",2018
11190,Traffik,"$9,515,914","$9,186,156","$329,758",2018
11191,Replicas,"$9,330,075","$4,046,429","$5,283,646",2018
11192,Mid90s,"$9,303,022","$7,362,439","$1,940,583",2018
11193,Champion,"$8,974,547","$97,472","$8,877,075",2018
11194,7 Days in Entebbe,"$8,771,432","$3,326,885","$5,444,547",2018
11195,Pope Francis: A Man of His Word,"$8,608,385","$2,008,385","$6,600,000",2018
11196,A-X-L,"$8,467,697","$6,501,381","$1,966,316",2018
11197,Disobedience,"$8,003,180","$3,498,782","$4,504,398",2018
11198,Life Itself,"$7,997,774","$4,102,648","$3,895,126",2018
11199,Suspiria,"$7,942,093","$2,483,472","$5,458,621",2018
11200,Qué León,"$7,807,916","$2,607,916","$5,200,000",2018
11201,Amazing Grace,"$7,796,112","$4,450,456","$3,345,656",2018
11202,Leave No Trace,"$7,682,928","$6,046,104","$1,636,824",2018
11203,Pandas,"$7,635,778","$7,574,012","$61,766",2018
11204,Burning,"$7,576,345","$718,991","$6,857,354",2018
11205,Beirut,"$7,509,436","$5,019,226","$2,490,210",2018
11206,God's Not Dead: A Light in Darkness,"$7,414,178","$5,728,940","$1,685,238",2018
11207,Return of the Hero,"$7,362,730","$37,108","$7,325,622",2018
11208,In Safe Hands,"$7,086,596","$1,737","$7,084,859",2018
11209,Dog Days,"$6,842,356","$6,809,080","$33,276",2018
11210,Race 3,"$6,817,391","$1,690,861","$5,126,530",2018
11211,Fahrenheit 11/9,"$6,674,168","$6,352,306","$321,862",2018
11212,Soorma,"$6,579,645","$390,077","$6,189,568",2018
11213,Gotti,"$6,412,349","$4,343,227","$2,069,122",2018
11214,Unbroken: Path to Redemption,"$6,216,897","$6,216,897",-,2018
11215,Never Look Away,"$6,193,234","$1,304,042","$4,889,192",2018
11216,Ploey,"$6,146,292","$77,815","$6,068,477",2018
11217,Mobile Suit Gundam Narrative,"$6,126,259","$259,224","$5,867,035",2018
11218,Death of a Nation,"$5,885,881","$5,885,881",-,2018
11219,Incident in a Ghostland,"$5,643,957",-,"$5,643,957",2018
11220,El Angel,"$5,604,680","$109,608","$5,495,072",2018
11221,Destroyer,"$5,580,940","$1,533,324","$4,047,616",2018
11222,A Wizard's Tale,"$5,487,261","$2,150","$5,485,111",2018
11223,Action Point,"$5,103,663","$5,059,608","$44,055",2018
11224,Dogman,"$5,080,147","$148,225","$4,931,922",2018
11225,Blindspotting,"$5,006,989","$4,333,394","$673,595",2018
11226,Sgt. Stubby: An American Hero,"$4,932,694","$4,015,935","$916,759",2018
11227,Samson,"$4,873,825","$4,719,928","$153,897",2018
11228,Hamlet 2018 Re-release,"$4,630,718","$235,229","$4,395,489",2018
11229,Bad Samaritan,"$4,623,836","$3,435,047","$1,188,789",2018
11230,Whitney,"$4,605,123","$3,026,351","$1,578,772",2018
11231,The Guilty,"$4,598,051","$207,140","$4,390,911",2018
11232,"Juliet, Naked","$4,511,157","$3,444,895","$1,066,262",2018
11233,Woman at War,"$4,481,653","$847,495","$3,634,158",2018
11234,Storm Boy,"$4,324,079","$71,760","$4,252,319",2018
11235,"Don't Worry, He Won't Get Far on Foot","$4,241,656","$1,441,705","$2,799,951",2018
11236,Ghost Stories,"$4,131,358","$148,747","$3,982,611",2018
11237,The Fall of the American Empire,"$4,110,928","$2,178,460","$1,932,468",2018
11238,2001: A Space Odyssey 2018 Re-release,"$4,084,582","$3,236,321","$848,261",2018
11239,American Animals,"$4,080,073","$2,856,954","$1,223,119",2018
11240,Penguin Highway,"$4,006,647","$104,567","$3,902,080",2018
11241,A Private War,"$3,915,207","$1,633,208","$2,281,999",2018
11242,First Reformed,"$3,862,498","$3,448,256","$414,242",2018
11243,Custody,"$3,790,303","$83,882","$3,706,421",2018
11244,Night of 7 Years,"$3,716,820","$24,281","$3,692,539",2018
11245,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893","$3,679,893",-,2018
11246,Non-Fiction,"$3,649,042","$704,919","$2,944,123",2018
11247,Indivisible,"$3,589,633","$3,511,417","$78,216",2018
11248,The Apparition,"$3,562,793","$28,293","$3,534,500",2018
11249,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123","$3,508,777","$2,346",2018
11250,Racetime,"$3,493,043","$1,875,283","$1,617,760",2018
11251,Great Performances at the Met: Puccini: Tosca,"$3,473,616","$2,023,749","$1,449,867",2018
11252,The Rider,"$3,434,963","$2,419,031","$1,015,932",2018
11253,Patrick the Pug,"$3,369,468","$6,290","$3,363,178",2018
11254,On Chesil Beach,"$3,335,913","$745,971","$2,589,942",2018
11255,Breath,"$3,322,479","$37,108","$3,285,371",2018
11256,Wildlife,"$3,321,367","$1,050,616","$2,270,751",2018
11257,Bharath Ane Nenu,"$3,276,257","$2,663,090","$613,167",2018
11258,The Front Runner,"$3,242,235","$2,000,105","$1,242,130",2018
11259,Thoroughbreds,"$3,187,255","$3,072,605","$114,650",2018
11260,Tea With the Dames,"$3,181,152","$889,343","$2,291,809",2018
11261,Made for More,"$2,999,134","$2,999,134",-,2018
11262,Memoir of War,"$2,980,982","$103,636","$2,877,346",2018
11263,The House That Jack Built,"$2,911,800","$87,993","$2,823,807",2018
11264,God Bless the Broken Road,"$2,848,233","$2,846,257","$1,976",2018
11265,A Breath Away,"$2,842,040","$77,987","$2,764,053",2018
11266,McQueen,"$2,739,246","$1,257,275","$1,481,971",2018
11267,Edie,"$2,731,170","$71,790","$2,659,380",2018
11268,Billionaire Boys Club,"$2,713,955","$1,349","$2,712,606",2018
11269,The Happy Prince,"$2,621,992","$466,440","$2,155,552",2018
11270,The Little Mermaid,"$2,613,377","$147,175","$2,466,202",2018
11271,Leo Da Vinci: Mission Mona Lisa,"$2,588,859","$19,978","$2,568,881",2018
11272,Assassination Nation,"$2,584,988","$2,005,142","$579,846",2018
11273,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927","$18,539","$2,551,388",2018
11274,Birds of Passage,"$2,517,405","$507,259","$2,010,146",2018
11275,"One Nation, One King","$2,481,681","$6,576","$2,475,105",2018
11276,Lean on Pete,"$2,443,584","$1,163,056","$1,280,528",2018
11277,The Breadwinner 2018 Re-release,"$2,426,907",$834,"$2,426,073",2018
11278,Hearts Beat Loud,"$2,417,165","$2,386,251","$30,914",2018
11279,The Man Who Killed Don Quixote,"$2,390,383","$391,963","$1,998,420",2018
11280,1991,"$2,342,264","$2,342,264",-,2018
